month,penalties,paid,collection_rate_pct
2002-05-01,,25,
2003-10-01,0,0,
2003-11-01,25,25,100.00
2004-05-01,500,500,100.00
2004-06-01,200,200,100.00
2004-11-01,50,50,100.00
2005-07-01,130,230,176.92
2005-09-01,,,
2006-07-01,,,
2006-08-01,,,
2011-07-01,1000,,
2014-03-01,0,0,
2014-05-01,0,0,
2015-01-01,0,0,
2017-08-01,0,0,
2019-04-01,0,0,
2019-08-01,0,0,
2019-11-01,0,0,
2024-01-01,0,,
2025-08-01,123150,0,0.00
2025-09-01,1147754,45077,3.93
2025-10-01,4139933,44980,1.09
2025-11-01,8614401,306690,3.56
2025-12-01,1926650,125520,6.51
2026-01-01,15175,625,4.12
2026-02-01,1050,0,0.00
2026-03-01,450,200,44.44
2026-05-01,4050,0,0.00
2026-06-01,5100,0,0.00
