case_id,hearing_date,violation_type,decision,amount_due,amount_paid,outstanding
1585011A0,2011-07-11,DOHMH,DEFAULT,1000,,1000
UR1003539,2017-08-23,TLC,UNKNOWN,0,0,0
009033P,2019-11-18,TLC,UNKNOWN,0,0,0
018543P,,TLC,UNKNOWN,0,0,0
014626P,2019-08-19,TLC,UNKNOWN,0,0,0
017169P,2019-04-25,TLC,UNKNOWN,0,0,0
SE0018591,2015-01-12,TLC,UNKNOWN,0,0,0
1461530A,2014-05-08,TLC,UNKNOWN,0,0,0
PA241397,2014-03-11,PORT AUTHORITY,UNKNOWN,0,0,0
0088632648,2006-07-25,UNKNOWN,DISMISSED,,,0
0146998482,2006-08-18,UNKNOWN,DISMISSED,,,0
0147329555,2005-09-16,UNKNOWN,DISMISSED,,,0
0133678858,2004-11-17,UNKNOWN,UNKNOWN,50,50,0
0145895732,2005-07-19,UNKNOWN,DISMISSED,,,0
0133719439,2004-05-07,UNKNOWN,UNKNOWN,500,500,0
0137156901,2005-07-08,UNKNOWN,DEFAULT,130,230,-100
0137931934,2003-11-05,UNKNOWN,UNKNOWN,25,25,0
0142705320,2004-06-29,UNKNOWN,SUSTAINED,100,100,0
0138915361,2004-06-02,UNKNOWN,UNKNOWN,100,100,0
0127667019,2002-05-22,UNKNOWN,UNKNOWN,,25,-25
1310723D0,2024-01-02,DOHMH,WITHDRAWN PRIOR TO HEARING,0,,0
25N02095,2025-10-20,UNKNOWN,UNKNOWN,,,0
25N02097,2025-10-20,UNKNOWN,UNKNOWN,,,0
0938225F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1109525F0,2025-10-15,UNKNOWN,UNKNOWN,,,0
0372125F1,2025-10-15,UNKNOWN,UNKNOWN,,,0
25X01467,2025-10-20,UNKNOWN,UNKNOWN,,,0
25M03121,2025-10-20,UNKNOWN,UNKNOWN,,,0
24Q03155,2025-09-15,UNKNOWN,HBAM ADJOURNED FOR IN-PERSON- OTHER REASONS,0,,0
1108425F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
1108325F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
0792625F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
80083026A,,TLC,UNKNOWN,0,0,0
0329025F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1109725D0,2025-10-15,UNKNOWN,UNKNOWN,,,0
0957325F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
24M03018,2025-09-15,DCA - Electronic Cigarette Dealer,HBAM ADJOURNED FOR IN-PERSON- OTHER REASONS,0,,0
1108825F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
1110025X0,2025-10-14,UNKNOWN,UNKNOWN,,,0
1109025F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
0946825F2,2025-09-29,UNKNOWN,UNKNOWN,,,0
0793325F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1110625F0,2025-10-15,UNKNOWN,UNKNOWN,,,0
0882525F2,2025-09-30,UNKNOWN,UNKNOWN,,,0
25X01163,2025-09-29,UNKNOWN,UNKNOWN,,,0
1109325F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
25X01164,2025-09-29,UNKNOWN,UNKNOWN,,,0
25N02238,2025-11-10,UNKNOWN,UNKNOWN,,,0
80083025A,,TLC,UNKNOWN,0,0,0
1110725E0,2025-10-14,UNKNOWN,UNKNOWN,,,0
1108725F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
0091325F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1132424F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
25Q02022,2025-09-15,UNKNOWN,UNKNOWN,,,0
1108625F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
0952825F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1110225F0,2025-09-30,UNKNOWN,UNKNOWN,,,0
1109225F0,2025-10-15,UNKNOWN,UNKNOWN,,,0
25Q02419,2025-11-10,UNKNOWN,UNKNOWN,,,0
25X01466,2025-10-20,UNKNOWN,UNKNOWN,,,0
1109425F0,2025-10-15,UNKNOWN,UNKNOWN,,,0
1109125F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
1109925F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
1107825F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
25N00562,2025-09-16,UNKNOWN,UNKNOWN,,,0
0562925F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
0990025F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
0780625F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
0497725F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1109625F0,2025-10-15,UNKNOWN,UNKNOWN,,,0
0854225F1,2025-10-15,UNKNOWN,UNKNOWN,,,0
1110325F0,2025-10-15,DOHMH,UNKNOWN,,,0
0484925F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
1109825F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
80083027A,,TLC,UNKNOWN,0,0,0
1108424F1,2025-10-14,UNKNOWN,UNKNOWN,,,0
049289147K,2025-12-15,SANITATION VENDOR ENFORCEMENT,UNKNOWN,25,0,25
0704000047,2025-12-17,DEPT OF TRANSPORTATION,UNKNOWN,1800,0,1800
80083024A,,TLC,UNKNOWN,0,0,0
039159987P,2025-11-19,DEPT. OF BUILDINGS,UNKNOWN,1250,0,1250
039160005P,2025-11-19,DEPT. OF BUILDINGS,UNKNOWN,2500,0,2500
039159999M,2025-11-20,DEPT. OF BUILDINGS,UNKNOWN,1250,0,1250
1107425F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
25T02468,2025-10-24,UNKNOWN,UNKNOWN,,,0
049289149Y,2025-12-15,SANITATION VENDOR ENFORCEMENT,UNKNOWN,200,0,200
049289150L,2025-12-15,SANITATION VENDOR ENFORCEMENT,UNKNOWN,1000,0,1000
25M02750,2025-09-22,UNKNOWN,UNKNOWN,,,0
049289152P,2025-12-15,SANITATION VENDOR ENFORCEMENT,UNKNOWN,25,0,25
25X01487,2025-10-20,UNKNOWN,UNKNOWN,,,0
039160111Z,2025-11-20,DEPT. OF BUILDINGS,UNKNOWN,6250,0,6250
1100525F0,2025-10-14,UNKNOWN,UNKNOWN,,,0
039160135N,2025-11-19,DEPT. OF BUILDINGS,UNKNOWN,2500,0,2500
